model,n,positive_rate,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,brier_score,tn,fp,fn,tp
logistic_regression,1500,0.15,0.9,0.8926666666666667,0.6843137254901961,0.7909090909090909,0.38666666666666666,0.5194029850746269,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1252,23,138,87
random_forest,1500,0.15,0.1,0.7093333333333334,0.7979084967320261,0.3317384370015949,0.9244444444444444,0.48826291079812206,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,856,419,17,208
random_forest,1500,0.15,0.11,0.722,0.7998692810457516,0.34053156146179403,0.9111111111111111,0.4957678355501814,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,878,397,20,205
random_forest,1500,0.15,0.12000000000000001,0.736,0.8062745098039216,0.35233160621761656,0.9066666666666666,0.5074626865671642,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,900,375,21,204
random_forest,1500,0.15,0.13,0.748,0.8133333333333332,0.36363636363636365,0.9066666666666666,0.5190839694656488,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,918,357,21,204
random_forest,1500,0.15,0.14,0.762,0.8215686274509804,0.37777777777777777,0.9066666666666666,0.5333333333333333,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,939,336,21,204
random_forest,1500,0.15,0.15000000000000002,0.772,0.8219607843137255,0.3872832369942196,0.8933333333333333,0.5403225806451613,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,957,318,24,201
random_forest,1500,0.15,0.16,0.782,0.8223529411764705,0.39759036144578314,0.88,0.5477178423236515,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,975,300,27,198
random_forest,1500,0.15,0.17,0.7946666666666666,0.8298039215686275,0.4133611691022965,0.88,0.5625,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,994,281,27,198
random_forest,1500,0.15,0.18,0.8026666666666666,0.8271895424836602,0.4226579520697168,0.8622222222222222,0.5672514619883041,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1010,265,31,194
random_forest,1500,0.15,0.19,0.8133333333333334,0.8279738562091503,0.43707093821510296,0.8488888888888889,0.5770392749244713,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1029,246,34,191
random_forest,1500,0.15,0.2,0.8206666666666667,0.8304575163398693,0.4481132075471698,0.8444444444444444,0.5855161787365177,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1041,234,35,190
random_forest,1500,0.15,0.21000000000000002,0.8273333333333334,0.8270588235294117,0.458128078817734,0.8266666666666667,0.589540412044374,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1055,220,39,186
random_forest,1500,0.15,0.22,0.8353333333333334,0.831764705882353,0.4720812182741117,0.8266666666666667,0.6009693053311793,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1067,208,39,186
random_forest,1500,0.15,0.23,0.838,0.8315032679738562,0.47680412371134023,0.8222222222222222,0.6035889070146819,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1072,203,40,185
random_forest,1500,0.15,0.24000000000000002,0.8413333333333334,0.8316339869281046,0.48293963254593175,0.8177777777777778,0.6072607260726073,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1078,197,41,184
random_forest,1500,0.15,0.25,0.8433333333333334,0.8236601307189543,0.48641304347826086,0.7955555555555556,0.6037099494097807,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1086,189,46,179
random_forest,1500,0.15,0.26,0.8466666666666667,0.8237908496732026,0.4930747922437673,0.7911111111111111,0.6075085324232082,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1092,183,47,178
random_forest,1500,0.15,0.27,0.854,0.8244444444444445,0.5086705202312138,0.7822222222222223,0.6164623467600701,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1105,170,49,176
random_forest,1500,0.15,0.28,0.8593333333333333,0.8275816993464052,0.5207100591715976,0.7822222222222223,0.6252220248667851,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1113,162,49,176
random_forest,1500,0.15,0.29000000000000004,0.8646666666666667,0.8270588235294117,0.5337423312883436,0.7733333333333333,0.631578947368421,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1123,152,51,174
random_forest,1500,0.15,0.30000000000000004,0.8653333333333333,0.8237908496732027,0.5358255451713395,0.7644444444444445,0.63003663003663,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1126,149,53,172
random_forest,1500,0.15,0.31,0.866,0.8205228758169935,0.5379746835443038,0.7555555555555555,0.6284658040665434,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1129,146,55,170
random_forest,1500,0.15,0.32,0.868,0.8180392156862746,0.5436893203883495,0.7466666666666667,0.6292134831460674,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1134,141,57,168
random_forest,1500,0.15,0.33,0.8706666666666667,0.8159477124183007,0.5514950166112956,0.7377777777777778,0.6311787072243346,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1140,135,59,166
random_forest,1500,0.15,0.33999999999999997,0.8726666666666667,0.8079738562091503,0.5590277777777778,0.7155555555555555,0.6276803118908382,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1148,127,64,161
random_forest,1500,0.15,0.35,0.872,0.8020915032679738,0.558303886925795,0.7022222222222222,0.6220472440944882,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1150,125,67,158
random_forest,1500,0.15,0.36,0.874,0.7959477124183006,0.5661764705882353,0.6844444444444444,0.6197183098591549,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1157,118,71,154
random_forest,1500,0.15,0.37,0.874,0.7922875816993464,0.5671641791044776,0.6755555555555556,0.6166328600405679,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1159,116,73,152
random_forest,1500,0.15,0.38,0.8773333333333333,0.7905882352941176,0.5791505791505791,0.6666666666666666,0.6198347107438017,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1166,109,75,150
random_forest,1500,0.15,0.39,0.8786666666666667,0.7858823529411765,0.5856573705179283,0.6533333333333333,0.6176470588235294,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1171,104,78,147
random_forest,1500,0.15,0.4,0.8806666666666667,0.7815686274509803,0.5950413223140496,0.64,0.6167023554603854,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1177,98,81,144
random_forest,1500,0.15,0.41000000000000003,0.8846666666666667,0.7820915032679738,0.6111111111111112,0.6355555555555555,0.6230936819172114,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1184,91,82,143
random_forest,1500,0.15,0.42000000000000004,0.8826666666666667,0.7735947712418301,0.6069868995633187,0.6177777777777778,0.6123348017621145,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1185,90,86,139
random_forest,1500,0.15,0.43000000000000005,0.8813333333333333,0.76,0.6082949308755761,0.5866666666666667,0.5972850678733032,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1190,85,93,132
random_forest,1500,0.15,0.44000000000000006,0.8826666666666667,0.757124183006536,0.6161137440758294,0.5777777777777777,0.5963302752293578,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1194,81,95,130
random_forest,1500,0.15,0.45000000000000007,0.8853333333333333,0.7568627450980392,0.6292682926829268,0.5733333333333334,0.6,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1199,76,96,129
random_forest,1500,0.15,0.45999999999999996,0.886,0.7517647058823529,0.6363636363636364,0.56,0.5957446808510638,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1203,72,99,126
random_forest,1500,0.15,0.47,0.8853333333333333,0.7403921568627452,0.6417112299465241,0.5333333333333333,0.5825242718446602,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1208,67,105,120
random_forest,1500,0.15,0.48,0.884,0.7304575163398692,0.6424581005586593,0.5111111111111111,0.5693069306930693,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1211,64,110,115
random_forest,1500,0.15,0.49,0.8873333333333333,0.7232679738562091,0.6707317073170732,0.4888888888888889,0.5655526992287918,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1221,54,115,110
random_forest,1500,0.15,0.5,0.888,0.7145098039215687,0.6862745098039216,0.4666666666666667,0.5555555555555556,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1227,48,120,105
random_forest,1500,0.15,0.51,0.8893333333333333,0.7116339869281045,0.7006802721088435,0.4577777777777778,0.553763440860215,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1231,44,122,103
random_forest,1500,0.15,0.52,0.8893333333333333,0.7079738562091503,0.7062937062937062,0.4488888888888889,0.5489130434782609,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1233,42,124,101
random_forest,1500,0.15,0.53,0.8866666666666667,0.6990849673202615,0.697841726618705,0.4311111111111111,0.532967032967033,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1233,42,128,97
random_forest,1500,0.15,0.54,0.886,0.6913725490196079,0.7045454545454546,0.41333333333333333,0.5210084033613446,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1236,39,132,93
random_forest,1500,0.15,0.55,0.884,0.681045751633987,0.704,0.39111111111111113,0.5028571428571429,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1238,37,137,88
random_forest,1500,0.15,0.56,0.8826666666666667,0.6729411764705883,0.7058823529411765,0.37333333333333335,0.4883720930232558,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1240,35,141,84
random_forest,1500,0.15,0.5700000000000001,0.8793333333333333,0.6563398692810457,0.7037037037037037,0.3377777777777778,0.45645645645645644,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1243,32,149,76
random_forest,1500,0.15,0.58,0.8786666666666667,0.6504575163398693,0.7087378640776699,0.3244444444444444,0.4451219512195122,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1245,30,152,73
random_forest,1500,0.15,0.59,0.8786666666666667,0.6486274509803922,0.7128712871287128,0.32,0.44171779141104295,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1246,29,153,72
random_forest,1500,0.15,0.6,0.8806666666666667,0.6498039215686274,0.7346938775510204,0.32,0.4458204334365325,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1249,26,153,72
random_forest,1500,0.15,0.61,0.8806666666666667,0.644313725490196,0.75,0.30666666666666664,0.4353312302839117,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1252,23,156,69
random_forest,1500,0.15,0.62,0.8813333333333333,0.6428758169934641,0.7640449438202247,0.3022222222222222,0.43312101910828027,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1254,21,157,68
random_forest,1500,0.15,0.63,0.88,0.6384313725490196,0.7586206896551724,0.29333333333333333,0.4230769230769231,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1254,21,159,66
random_forest,1500,0.15,0.64,0.8733333333333333,0.6143790849673202,0.7333333333333333,0.24444444444444444,0.36666666666666664,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1255,20,170,55
random_forest,1500,0.15,0.65,0.874,0.609281045751634,0.7647058823529411,0.2311111111111111,0.35494880546075086,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1259,16,173,52
random_forest,1500,0.15,0.66,0.874,0.6056209150326797,0.78125,0.2222222222222222,0.3460207612456747,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1261,14,175,50
random_forest,1500,0.15,0.67,0.872,0.5989542483660131,0.7704918032786885,0.2088888888888889,0.32867132867132864,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1261,14,178,47
random_forest,1500,0.15,0.6799999999999999,0.8713333333333333,0.5949019607843137,0.7758620689655172,0.2,0.31802120141342755,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1262,13,180,45
random_forest,1500,0.15,0.69,0.87,0.586797385620915,0.7884615384615384,0.18222222222222223,0.296028880866426,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1264,11,184,41
random_forest,1500,0.15,0.7,0.8693333333333333,0.5809150326797385,0.8085106382978723,0.1688888888888889,0.27941176470588236,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1266,9,187,38
random_forest,1500,0.15,0.71,0.868,0.574640522875817,0.813953488372093,0.15555555555555556,0.26119402985074625,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1267,8,190,35
random_forest,1500,0.15,0.72,0.868,0.5691503267973856,0.8648648648648649,0.14222222222222222,0.24427480916030533,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1270,5,193,32
random_forest,1500,0.15,0.73,0.8673333333333333,0.5669281045751634,0.8611111111111112,0.13777777777777778,0.23754789272030652,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1270,5,194,31
random_forest,1500,0.15,0.74,0.866,0.5624836601307189,0.8529411764705882,0.1288888888888889,0.22393822393822393,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1270,5,196,29
random_forest,1500,0.15,0.75,0.864,0.5558169934640523,0.8387096774193549,0.11555555555555555,0.203125,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1270,5,199,26
random_forest,1500,0.15,0.76,0.8613333333333333,0.5469281045751634,0.8148148148148148,0.09777777777777778,0.1746031746031746,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1270,5,203,22
random_forest,1500,0.15,0.77,0.8613333333333333,0.5432679738562092,0.8695652173913043,0.08888888888888889,0.16129032258064516,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1272,3,205,20
random_forest,1500,0.15,0.78,0.8613333333333333,0.5432679738562092,0.8695652173913043,0.08888888888888889,0.16129032258064516,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1272,3,205,20
random_forest,1500,0.15,0.79,0.8613333333333333,0.5432679738562092,0.8695652173913043,0.08888888888888889,0.16129032258064516,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1272,3,205,20
random_forest,1500,0.15,0.8,0.8606666666666667,0.5410457516339869,0.8636363636363636,0.08444444444444445,0.15384615384615385,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1272,3,206,19
random_forest,1500,0.15,0.8099999999999999,0.86,0.5388235294117647,0.8571428571428571,0.08,0.14634146341463414,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1272,3,207,18
random_forest,1500,0.15,0.82,0.8593333333333333,0.5366013071895425,0.85,0.07555555555555556,0.13877551020408163,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1272,3,208,17
random_forest,1500,0.15,0.83,0.8586666666666667,0.5325490196078432,0.8823529411764706,0.06666666666666667,0.12396694214876033,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1273,2,210,15
random_forest,1500,0.15,0.84,0.8586666666666667,0.530718954248366,0.9333333333333333,0.06222222222222222,0.11666666666666667,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1274,1,211,14
random_forest,1500,0.15,0.85,0.858,0.5284967320261438,0.9285714285714286,0.057777777777777775,0.1087866108786611,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1274,1,212,13
random_forest,1500,0.15,0.86,0.8573333333333333,0.5244444444444445,1.0,0.04888888888888889,0.09322033898305085,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1275,0,214,11
random_forest,1500,0.15,0.87,0.8566666666666667,0.5222222222222223,1.0,0.044444444444444446,0.0851063829787234,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1275,0,215,10
random_forest,1500,0.15,0.88,0.8566666666666667,0.5222222222222223,1.0,0.044444444444444446,0.0851063829787234,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1275,0,215,10
random_forest,1500,0.15,0.89,0.8553333333333333,0.5177777777777778,1.0,0.035555555555555556,0.06866952789699571,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1275,0,217,8
